campus,degree_id,residency,credit_amount,fee_cad
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,0.5,"$1,069.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,1,"$2,138.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,1.5,"$3,207.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,2,"$4,276.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,2.25,"$4,767.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,2.5,"$4,767.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,2.75,"$5,301.50"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,3,"$5,836.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,3.25,"$6,370.50"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,3.5,"$6,905.00"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,3.75,"$7,439.50"
Brantford,Bachelor of Business Technology Management (BBTM),Non-Ontario,4,"$7,974.00"
Brantford,Bachelor of Design (BDes),Ontario,0.5,$708.08
Brantford,Bachelor of Design (BDes),Non-Ontario,0.5,$781.00
Both,Bachelor of Education (BEd),Ontario,0.5,$805.12
Both,Bachelor of Education (BEd),Non-Ontario,0.5,$887.00
Waterloo,BBA + BMath (Double Degree),Ontario,0.5,"$1,161.40"
Waterloo,BBA + BMath (Double Degree),Ontario,1,"$2,322.80"
Waterloo,BBA + BMath (Double Degree),Ontario,1.5,"$3,484.20"
Waterloo,BBA + BMath (Double Degree),Ontario,2,"$4,645.60"
Waterloo,BBA + BMath (Double Degree),Ontario,2.25,"$5,179.00"
Waterloo,BBA + BMath (Double Degree),Ontario,2.5,"$5,179.00"
Waterloo,BBA + BMath (Double Degree),Ontario,2.75,"$5,471.76"
Waterloo,BBA + BMath (Double Degree),Ontario,3,"$5,764.40"
Waterloo,BBA + BMath (Double Degree),Ontario,3.25,"$6,340.06"
Waterloo,BBA + BMath (Double Degree),Ontario,3.5,"$6,920.77"
Waterloo,BBA + BMath (Double Degree),Ontario,3.75,"$7,501.77"
Waterloo,BBA + BMath (Double Degree),Ontario,4,"$8,081.90"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,0.5,"$1,235.40"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,1,"$2,470.80"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,1.5,"$3,706.20"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,2,"$4,941.60"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,2.25,"$5,509.00"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,2.5,"$5,509.00"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,2.75,"$6,126.70"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,3,"$6,744.40"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,3.25,"$7,362.10"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,3.5,"$7,979.80"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,3.75,"$8,597.50"
Waterloo,BBA + BMath (Double Degree),Non-Ontario,4,"$9,215.20"
Waterloo,BBA + BSc Computer Science (Double Degree),Ontario,0.5,"$1,446.71"
Waterloo,BBA + BSc Computer Science (Double Degree),Ontario,Max,"$6,435.74"
Waterloo,BBA + BSc Computer Science (Double Degree),Non-Ontario,0.5,"$3,152.88"
Waterloo,BBA + BSc Computer Science (Double Degree),Non-Ontario,Max,"$7,094.00"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,0.5,"$1,161.40"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,1,"$2,322.80"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,1.5,"$3,484.20"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,2,"$4,645.60"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,2.25,"$5,179.00"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,2.5,"$5,179.00"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,2.75,"$5,471.76"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,3,"$5,764.40"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,3.25,"$6,340.06"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,3.5,"$6,920.77"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,3.75,"$7,501.77"
Waterloo,BBA Double Degree (Laurier + UW),Ontario,4,"$8,081.90"
Waterloo,BBA Double Degree (Laurier + UW),Non-Ontario,0.5,"$1,235.40"
Waterloo,BBA Double Degree (Laurier + UW),Non-Ontario,1,"$2,470.80"
